"title","description","test_type","priority","status","preconditions","step_1_action","step_1_expected","step_2_action","step_2_expected","step_3_action","step_3_expected","step_4_action","step_4_expected","step_5_action","step_5_expected","tags","suite_name"
"Open registration confirmation modal when Register tapped - ANDROID","Validate open registration confirmation modal when register tapped","functional_android","high","ready","User is approved member; User views Event Details; Event has available spots","View Event Details page","Step completes as expected","Tap 'Register' button","Step completes as expected","Observe modal behavior","Confirmation modal displays with:
- Background blur effect
- Swipe up interaction allowed
- Auto-filled fields: Full Name, WhatsApp Number (from member profile)
- Form validation highlighting invalid fields in red if incomplete
- 'Swipe to Secure Spot' slider at bottom
- Close button to exit modal","","","","","event-registration, confirmation-modal, ui-validation,android","Event Details & Registration"
"Open registration confirmation modal when Register tapped - IOS","Validate open registration confirmation modal when register tapped","functional_ios","high","ready","User is approved member; User views Event Details; Event has available spots","View Event Details page","Step completes as expected","Tap 'Register' button","Step completes as expected","Observe modal behavior","Confirmation modal displays with:
- Background blur effect
- Swipe up interaction allowed
- Auto-filled fields: Full Name, WhatsApp Number (from member profile)
- Form validation highlighting invalid fields in red if incomplete
- 'Swipe to Secure Spot' slider at bottom
- Close button to exit modal","","","","","event-registration, confirmation-modal, ui-validation,ios","Event Details & Registration"
"Complete event registration successfully via swipe slider - ANDROID","Validate complete event registration successfully via swipe slider","functional_android","high","ready","User has opened registration confirmation modal; Full Name: 'John Doe' (auto-filled); WhatsApp: '+6281234567890' (auto-filled); All fields valid","View confirmation modal with auto-filled data","Step completes as expected","Verify Full Name and WhatsApp Number","Step completes as expected","Swipe 'Swipe to Secure Spot' slider from left to right","Step completes as expected","Wait for registration API response","Registration successful:
- Sliding action triggers registration API
- Loading indicator shown during API call
- Success modal/ticket displays upon completion
- User receives unique QR code and order code
- Registration count increases by 1 on Event Details","","","event-registration, swipe-slider, positive-flow,android","Event Details & Registration"
"Complete event registration successfully via swipe slider - IOS","Validate complete event registration successfully via swipe slider","functional_ios","high","ready","User has opened registration confirmation modal; Full Name: 'John Doe' (auto-filled); WhatsApp: '+6281234567890' (auto-filled); All fields valid","View confirmation modal with auto-filled data","Step completes as expected","Verify Full Name and WhatsApp Number","Step completes as expected","Swipe 'Swipe to Secure Spot' slider from left to right","Step completes as expected","Wait for registration API response","Registration successful:
- Sliding action triggers registration API
- Loading indicator shown during API call
- Success modal/ticket displays upon completion
- User receives unique QR code and order code
- Registration count increases by 1 on Event Details","","","event-registration, swipe-slider, positive-flow,ios","Event Details & Registration"
"Verify swipe slider disabled with incomplete form - ANDROID","Validate swipe slider disabled with incomplete form","functional_android","high","ready","User has opened registration confirmation modal; Full Name field is empty or invalid","Open confirmation modal","Step completes as expected","Clear Full Name field (leave empty)","Step completes as expected","Attempt to swipe 'Swipe to Secure Spot' slider","Step completes as expected","Observe slider behavior","Swipe slider is disabled:
- Slider does not respond to swipe gesture
- Invalid fields highlighted in red
- Registration cannot proceed until form is complete
- Clear validation message displayed","","","event-registration, form-validation, negative,android","Event Details & Registration"
"Verify swipe slider disabled with incomplete form - IOS","Validate swipe slider disabled with incomplete form","functional_ios","high","ready","User has opened registration confirmation modal; Full Name field is empty or invalid","Open confirmation modal","Step completes as expected","Clear Full Name field (leave empty)","Step completes as expected","Attempt to swipe 'Swipe to Secure Spot' slider","Step completes as expected","Observe slider behavior","Swipe slider is disabled:
- Slider does not respond to swipe gesture
- Invalid fields highlighted in red
- Registration cannot proceed until form is complete
- Clear validation message displayed","","","event-registration, form-validation, negative,ios","Event Details & Registration"
"Display registration success ticket modal with QR code - ANDROID","Validate display registration success ticket modal with qr code","functional_android","high","ready","User has completed registration swipe slider; Registration API returns success; Order code generated: '12345'","Complete event registration","Step completes as expected","Wait for API response","Step completes as expected","Observe success ticket modal","Ticket modal displays:
- Confirmation message
- Event information summary (pulled from CMS)
- Unique QR code (generated per order code from backend)
- Order Code: '12345' (participant reference code)
- 'View Details' link to return to Event Details page
- 'Back' button to close modal and return to Social Club Home","","","","","event-registration, ticket-modal, qr-code,android","Event Details & Registration"
"Display registration success ticket modal with QR code - IOS","Validate display registration success ticket modal with qr code","functional_ios","high","ready","User has completed registration swipe slider; Registration API returns success; Order code generated: '12345'","Complete event registration","Step completes as expected","Wait for API response","Step completes as expected","Observe success ticket modal","Ticket modal displays:
- Confirmation message
- Event information summary (pulled from CMS)
- Unique QR code (generated per order code from backend)
- Order Code: '12345' (participant reference code)
- 'View Details' link to return to Event Details page
- 'Back' button to close modal and return to Social Club Home","","","","","event-registration, ticket-modal, qr-code,ios","Event Details & Registration"
"Navigate back to Event Details from ticket modal - ANDROID","Validate navigate back to event details from ticket modal","functional_android","medium","ready","User sees registration success ticket modal","View ticket modal after successful registration","Step completes as expected","Tap 'View Details' link","Step completes as expected","Observe navigation","User returns to Event Details page via deep-link
Event Details page shows updated registration count
User can view complete event information","","","","","event-registration, navigation, deep-link,android","Event Details & Registration"
"Navigate back to Event Details from ticket modal - IOS","Validate navigate back to event details from ticket modal","functional_ios","medium","ready","User sees registration success ticket modal","View ticket modal after successful registration","Step completes as expected","Tap 'View Details' link","Step completes as expected","Observe navigation","User returns to Event Details page via deep-link
Event Details page shows updated registration count
User can view complete event information","","","","","event-registration, navigation, deep-link,ios","Event Details & Registration"
"Close ticket modal and return to Social Club Home - ANDROID","Validate close ticket modal and return to social club home","functional_android","medium","ready","User sees registration success ticket modal","View ticket modal after successful registration","Step completes as expected","Tap 'Back' button","Step completes as expected","Observe navigation","Modal closes
User returns to Social Club Home screen
User can view other events and member features","","","","","event-registration, navigation, close-modal,android","Event Details & Registration"
"Close ticket modal and return to Social Club Home - IOS","Validate close ticket modal and return to social club home","functional_ios","medium","ready","User sees registration success ticket modal","View ticket modal after successful registration","Step completes as expected","Tap 'Back' button","Step completes as expected","Observe navigation","Modal closes
User returns to Social Club Home screen
User can view other events and member features","","","","","event-registration, navigation, close-modal,ios","Event Details & Registration"
"Display revoked membership banner on Social Club landing - ANDROID","Validate display revoked membership banner on social club landing","functional_android","high","ready","User was previously approved member; Admin revoked membership from CMS; membership_status = revoked; revocation_reason = 'Violation of community guidelines'","User opens RoaminRabbit Android app after revocation","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe landing page","Revoked membership banner displays:
- Persistent warning banner at top of landing page
- Banner only appears when membership_status = revoked
- Tapping banner opens 'Sorry for the Inconvenience' modal
- Banner remains visible until membership restored","","","","","membership-revocation, banner-display, access-control,android","Membership Revocation"
"Display revoked membership banner on Social Club landing - IOS","Validate display revoked membership banner on social club landing","functional_ios","high","ready","User was previously approved member; Admin revoked membership from CMS; membership_status = revoked; revocation_reason = 'Violation of community guidelines'","User opens RoaminRabbit iOS app after revocation","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe landing page","Revoked membership banner displays:
- Persistent warning banner at top of landing page
- Banner only appears when membership_status = revoked
- Tapping banner opens 'Sorry for the Inconvenience' modal
- Banner remains visible until membership restored","","","","","membership-revocation, banner-display, access-control,ios","Membership Revocation"
"Display revocation reason in Sorry for Inconvenience modal - ANDROID","Validate display revocation reason in sorry for inconvenience modal","functional_android","high","ready","User membership_status = revoked; revocation_reason = 'Violation of community guidelines'; User taps revoked membership banner","Tap on revoked membership banner","Step completes as expected","Observe modal content","Step completes as expected","Read revocation reason","Sorry for Inconvenience modal displays:
- Reason displayed in grey reason box: 'Violation of community guidelines'
- Reason text sourced from backend revocation_reason field
- Modal blocks interaction with page until dismissed
- 'Contact Us' CTA button available
- User cannot proceed without dismissing modal","","","","","membership-revocation, modal-display, revocation-reason,android","Membership Revocation"
"Display revocation reason in Sorry for Inconvenience modal - IOS","Validate display revocation reason in sorry for inconvenience modal","functional_ios","high","ready","User membership_status = revoked; revocation_reason = 'Violation of community guidelines'; User taps revoked membership banner","Tap on revoked membership banner","Step completes as expected","Observe modal content","Step completes as expected","Read revocation reason","Sorry for Inconvenience modal displays:
- Reason displayed in grey reason box: 'Violation of community guidelines'
- Reason text sourced from backend revocation_reason field
- Modal blocks interaction with page until dismissed
- 'Contact Us' CTA button available
- User cannot proceed without dismissing modal","","","","","membership-revocation, modal-display, revocation-reason,ios","Membership Revocation"
"Contact support via Contact Us button in revocation modal - ANDROID","Validate contact support via contact us button in revocation modal","functional_android","medium","ready","User sees revocation modal; FreshChat is configured in app","View Sorry for Inconvenience modal","Step completes as expected","Tap 'Contact Us' CTA button","Step completes as expected","Observe action","FreshChat support window launches:
- User can communicate with support team
- User can explain situation or appeal revocation
- Support conversation initiated
- User can return to app after contacting support","","","","","membership-revocation, support-contact, freshchat,android","Membership Revocation"
"Contact support via Contact Us button in revocation modal - IOS","Validate contact support via contact us button in revocation modal","functional_ios","medium","ready","User sees revocation modal; FreshChat is configured in app","View Sorry for Inconvenience modal","Step completes as expected","Tap 'Contact Us' CTA button","Step completes as expected","Observe action","FreshChat support window launches:
- User can communicate with support team
- User can explain situation or appeal revocation
- Support conversation initiated
- User can return to app after contacting support","","","","","membership-revocation, support-contact, freshchat,ios","Membership Revocation"
"Verify revoked members cannot access member-only features - ANDROID","Validate revoked members cannot access member-only features","functional_android","high","ready","User membership_status = revoked; User attempts to access member features","User with revoked membership opens app","Step completes as expected","Attempt to access Social Club Home","Step completes as expected","Attempt to access My Tickets","Step completes as expected","Attempt to register for events","Step completes as expected","Observe access restrictions","Limited access enforced:
- Member card is hidden
- Tickets screen not accessible
- Events registration not available
- Club home pages hidden
- All member-only features blocked
- User sees only public landing page with revocation banner","membership-revocation, access-control, feature-restriction,android","Membership Revocation"
"Verify revoked members cannot access member-only features - IOS","Validate revoked members cannot access member-only features","functional_ios","high","ready","User membership_status = revoked; User attempts to access member features","User with revoked membership opens app","Step completes as expected","Attempt to access Social Club Home","Step completes as expected","Attempt to access My Tickets","Step completes as expected","Attempt to register for events","Step completes as expected","Observe access restrictions","Limited access enforced:
- Member card is hidden
- Tickets screen not accessible
- Events registration not available
- Club home pages hidden
- All member-only features blocked
- User sees only public landing page with revocation banner","membership-revocation, access-control, feature-restriction,ios","Membership Revocation"
"Redirect to revocation modal on deep-link access attempt - ANDROID","Validate redirect to revocation modal on deep-link access attempt","functional_android","high","ready","User membership_status = revoked; User has deep-link to member-only page (e.g., My Tickets, Event Details)","User with revoked membership clicks deep-link","Step completes as expected","App attempts to navigate to member-only page","Step completes as expected","Observe redirection behavior","Access blocked:
- Deep-link navigation intercepted
- User redirected to revocation modal
- Sorry for Inconvenience modal displayed
- User cannot access linked member-only content
- Must dismiss modal to continue","","","","","membership-revocation, deep-link, access-control,android","Membership Revocation"
"Redirect to revocation modal on deep-link access attempt - IOS","Validate redirect to revocation modal on deep-link access attempt","functional_ios","high","ready","User membership_status = revoked; User has deep-link to member-only page (e.g., My Tickets, Event Details)","User with revoked membership clicks deep-link","Step completes as expected","App attempts to navigate to member-only page","Step completes as expected","Observe redirection behavior","Access blocked:
- Deep-link navigation intercepted
- User redirected to revocation modal
- Sorry for Inconvenience modal displayed
- User cannot access linked member-only content
- Must dismiss modal to continue","","","","","membership-revocation, deep-link, access-control,ios","Membership Revocation"
"Restore member access after admin unrevokes membership - ANDROID","Validate restore member access after admin unrevokes membership","functional_android","high","ready","User membership_status = revoked; Admin changes status to 'active' in CMS; User launches app after restoration","Admin unrevokes membership in CMS","Step completes as expected","Backend changes membership_status to 'active'","Step completes as expected","User closes and reopens app (or refreshes)","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe access restoration","Full access restored:
- Revocation banner disappears
- User regains access to all member-only features
- Social Club Home accessible
- My Tickets accessible
- Event registration available
- Member card displays normally
- User treated as approved member","membership-revocation, restoration, access-recovery,android","Membership Revocation"
"Restore member access after admin unrevokes membership - IOS","Validate restore member access after admin unrevokes membership","functional_ios","high","ready","User membership_status = revoked; Admin changes status to 'active' in CMS; User launches app after restoration","Admin unrevokes membership in CMS","Step completes as expected","Backend changes membership_status to 'active'","Step completes as expected","User closes and reopens app (or refreshes)","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe access restoration","Full access restored:
- Revocation banner disappears
- User regains access to all member-only features
- Social Club Home accessible
- My Tickets accessible
- Event registration available
- Member card displays normally
- User treated as approved member","membership-revocation, restoration, access-recovery,ios","Membership Revocation"
"Display FULL CAPACITY indicator when event reaches max capacity - ANDROID","Validate display full capacity indicator when event reaches max capacity","functional_android","high","ready","Event max capacity: 50; Current registrations: 50; event.isFull = true; User views Event Details","Navigate to Event Details for full event","Step completes as expected","Check Registration Status section","Step completes as expected","Check Register button state","Full capacity display:
- Capacity shows 'FULL CAPACITY'
- 'Register' button replaced with 'Join Waitlist' button
- Registration count shows '50 Registrations'
- User cannot register directly
- Only waitlist option available","","","","","waitlist, full-capacity, event-capacity,android","Event Waitlisting"
"Display FULL CAPACITY indicator when event reaches max capacity - IOS","Validate display full capacity indicator when event reaches max capacity","functional_ios","high","ready","Event max capacity: 50; Current registrations: 50; event.isFull = true; User views Event Details","Navigate to Event Details for full event","Step completes as expected","Check Registration Status section","Step completes as expected","Check Register button state","Full capacity display:
- Capacity shows 'FULL CAPACITY'
- 'Register' button replaced with 'Join Waitlist' button
- Registration count shows '50 Registrations'
- User cannot register directly
- Only waitlist option available","","","","","waitlist, full-capacity, event-capacity,ios","Event Waitlisting"
"Join waitlist when event is at full capacity - ANDROID","Validate join waitlist when event is at full capacity","functional_android","high","ready","Event is at full capacity (event.isFull = true); User is approved member; User views Event Details showing 'Join Waitlist' button","View Event Details for full event","Step completes as expected","Tap 'Join Waitlist' button","Step completes as expected","Observe modal opening","'Join Waitlist' button tapped successfully:
- Button only displayed when event.isFull = true
- Confirm Details modal opens
- Same design as registration confirmation
- Auto-filled name and WhatsApp number
- Swipe slider shows 'Swipe to Join Waitlist'","","","","","waitlist, join-waitlist, event-full,android","Event Waitlisting"
"Join waitlist when event is at full capacity - IOS","Validate join waitlist when event is at full capacity","functional_ios","high","ready","Event is at full capacity (event.isFull = true); User is approved member; User views Event Details showing 'Join Waitlist' button","View Event Details for full event","Step completes as expected","Tap 'Join Waitlist' button","Step completes as expected","Observe modal opening","'Join Waitlist' button tapped successfully:
- Button only displayed when event.isFull = true
- Confirm Details modal opens
- Same design as registration confirmation
- Auto-filled name and WhatsApp number
- Swipe slider shows 'Swipe to Join Waitlist'","","","","","waitlist, join-waitlist, event-full,ios","Event Waitlisting"
"Complete waitlist registration via swipe slider - ANDROID","Validate complete waitlist registration via swipe slider","functional_android","high","ready","User has opened waitlist confirmation modal; Name: 'Jane Doe' (auto-filled); WhatsApp: '+6281234567890' (auto-filled); All validation passed","View waitlist confirmation modal","Step completes as expected","Verify name and phone number","Step completes as expected","Swipe 'Swipe to Join Waitlist' slider from left to right","Step completes as expected","Wait for API response","Waitlist registration successful:
- Sliding action triggers waitlist API
- Loading indicator during processing
- Success confirmation displays
- User added to waitlist queue
- Waitlist count increases","","","waitlist, waitlist-registration, swipe-slider,android","Event Waitlisting"
"Complete waitlist registration via swipe slider - IOS","Validate complete waitlist registration via swipe slider","functional_ios","high","ready","User has opened waitlist confirmation modal; Name: 'Jane Doe' (auto-filled); WhatsApp: '+6281234567890' (auto-filled); All validation passed","View waitlist confirmation modal","Step completes as expected","Verify name and phone number","Step completes as expected","Swipe 'Swipe to Join Waitlist' slider from left to right","Step completes as expected","Wait for API response","Waitlist registration successful:
- Sliding action triggers waitlist API
- Loading indicator during processing
- Success confirmation displays
- User added to waitlist queue
- Waitlist count increases","","","waitlist, waitlist-registration, swipe-slider,ios","Event Waitlisting"
"Display waitlist success confirmation message - ANDROID","Validate display waitlist success confirmation message","functional_android","high","ready","User has completed waitlist swipe slider; Waitlist API returns success","Complete waitlist registration","Step completes as expected","Wait for API response","Step completes as expected","Observe success state","Waitlist success message displays:
- Success message: 'You're on the waitlist!'
- Confirmation that user is queued for the event
- Information about next steps (if spots become available)
- Option to return to Social Club Home","","","","","waitlist, success-message, confirmation,android","Event Waitlisting"
"Display waitlist success confirmation message - IOS","Validate display waitlist success confirmation message","functional_ios","high","ready","User has completed waitlist swipe slider; Waitlist API returns success","Complete waitlist registration","Step completes as expected","Wait for API response","Step completes as expected","Observe success state","Waitlist success message displays:
- Success message: 'You're on the waitlist!'
- Confirmation that user is queued for the event
- Information about next steps (if spots become available)
- Option to return to Social Club Home","","","","","waitlist, success-message, confirmation,ios","Event Waitlisting"
"Verify waitlist form validation requires name and phone - ANDROID","Validate waitlist form validation requires name and phone","functional_android","high","ready","User has opened waitlist confirmation modal","Open waitlist confirmation modal","Step completes as expected","Clear name field (leave empty)","Step completes as expected","Attempt to swipe 'Swipe to Join Waitlist' slider","Step completes as expected","Observe validation","Form validation prevents submission:
- Swipe slider disabled with incomplete form
- Name field validation required
- WhatsApp field validation required
- Invalid fields highlighted
- Cannot proceed until form complete","","","waitlist, form-validation, negative,android","Event Waitlisting"
"Verify waitlist form validation requires name and phone - IOS","Validate waitlist form validation requires name and phone","functional_ios","high","ready","User has opened waitlist confirmation modal","Open waitlist confirmation modal","Step completes as expected","Clear name field (leave empty)","Step completes as expected","Attempt to swipe 'Swipe to Join Waitlist' slider","Step completes as expected","Observe validation","Form validation prevents submission:
- Swipe slider disabled with incomplete form
- Name field validation required
- WhatsApp field validation required
- Invalid fields highlighted
- Cannot proceed until form complete","","","waitlist, form-validation, negative,ios","Event Waitlisting"
"Verify Members Table displays all membership records correctly","Validate members table displays all membership records correctly","functional_web","high","ready","Admin logged into Events Management CMS; Multiple membership records exist with different statuses; Navigate to Membership Management section","Access CMS Membership Management page","Step completes as expected","Observe Members Table display","Step completes as expected","Check table columns and data","Members Table displays correctly with columns:
- No (auto-incremented entry number)
- Account ID (user's system ID from profile)
- Request Date (format: DD MMM YYYY • HH:MM)
- Name (user's full name from account)
- Number (WhatsApp number in E.164 or local format)
- Actions (Approve/Revoke/Unrevoke/View buttons)
Table sorted by most recent request by default","","","","","cms, membership-management, table-display","CMS - Membership Management"
"Search members by name in real-time","Validate search members by name in real-time","functional_web","high","ready","Admin is on Membership Management page; Multiple member records exist including 'John Doe', 'Jane Smith', 'Bob Johnson'","Locate search bar in Membership Management","Step completes as expected","Type 'John' in search bar","Step completes as expected","Observe table filtering in real-time","Step completes as expected","Clear search and type 'smith' (lowercase)","Step completes as expected","Check case-insensitive search","Search functions correctly:
- Real-time filtering across Name column
- Search is case-insensitive
- Typing 'John' shows 'John Doe' and 'Bob Johnson' (contains John)
- Typing 'smith' shows 'Jane Smith'
- Empty results show 'No results found' message","cms, search, real-time-filter","CMS - Membership Management"
"Filter members by status - Requested (Pending)","Validate filter members by status - requested (pending)","functional_web","high","ready","Admin is on Membership Management page; Membership records exist with various statuses:; - 5 Pending; - 10 Approved; - 3 Revoked","View Members Table with 'All' filter active (default)","Step completes as expected","Click 'Requested' filter button","Step completes as expected","Observe table filtering","Step completes as expected","Check displayed records","Filter displays correctly:
- Only members with membershipStatus = 'Pending' shown
- Table shows 5 pending records
- Records sorted by most recent request
- Approve button visible for each pending member
- Other status records hidden","","","cms, filter, pending-status","CMS - Membership Management"
"Filter members by status - Approved","Validate filter members by status - approved","functional_web","high","ready","Admin is on Membership Management page; Membership records exist with various statuses","Click 'Approved' filter button","Step completes as expected","Observe table filtering","Step completes as expected","Check action buttons available","Approved filter displays:
- Only members with membershipStatus = 'Approved' shown
- Records sorted by approval timestamp
- Orange 'Revoke' button visible for each approved member
- Other status records hidden","","","","","cms, filter, approved-status","CMS - Membership Management"
"Approve pending membership request successfully","Validate approve pending membership request successfully","functional_web","high","ready","Admin is on Membership Management page; Pending member exists:; - Name: 'John Doe'; - membershipStatus: 'Pending'; - Account ID: '12345'","Filter by 'Requested' status","Step completes as expected","Locate John Doe's record","Step completes as expected","Click green 'Approve' button","Step completes as expected","Confirm approval action","Step completes as expected","Observe status update","Approval successful:
- membershipStatus updates from Pending → Approved instantly
- Success notification/toast displayed
- User gains access to member-only app features
- 'Welcome to the Club' dialog triggered for user's next login
- WhatsApp notification sent via backend service
- Status log updated with approval entry
- Record moves to 'Approved' filter section","cms, approve-membership, status-update","CMS - Membership Management"
"Revoke approved membership with reason","Validate revoke approved membership with reason","functional_web","high","ready","Admin is on Membership Management page; Approved member exists:; - Name: 'Jane Smith'; - membershipStatus: 'Approved'; User has active event registrations","Filter by 'Approved' status","Step completes as expected","Locate Jane Smith's record","Step completes as expected","Click orange 'Revoke' button","Step completes as expected","Enter revocation reason: 'Violation of community guidelines'","Step completes as expected","Confirm revocation","Step completes as expected","cms, revoke-membership, revocation-reason","CMS - Membership Management"
"Verify revocation requires non-empty reason","Validate revocation requires non-empty reason","functional_web","high","ready","Admin is on Membership Management page; Approved member selected for revocation","Click 'Revoke' button on approved member","Step completes as expected","Leave revocation reason field empty","Step completes as expected","Attempt to confirm revocation","Step completes as expected","Observe validation error","Validation error displayed:
- Revocation reason field highlighted as required
- Error message: 'Revocation reason is required'
- Cannot proceed with revocation until reason provided
- Admin must enter text before confirming","","","cms, validation, negative, revocation-reason","CMS - Membership Management"
"Unrevoke membership to restore member access","Validate unrevoke membership to restore member access","functional_web","high","ready","Admin is on Membership Management page; Revoked member exists:; - Name: 'Jane Smith'; - membershipStatus: 'Revoked'; - revocation_reason: 'Violation of community guidelines'","Filter by 'Revoked' status","Step completes as expected","Locate Jane Smith's record","Step completes as expected","Click 'Unrevoke' button","Step completes as expected","Confirm restoration","Step completes as expected","Observe status update","Unrevoke successful:
- membershipStatus updates from Revoked → Approved
- Status Log entry appended: 'Membership Unrevoked'
- User regains access to all member-only features on next login
- Revocation banner disappears from user's app
- User can register for new events
- Previous event registrations remain deleted (not restored)
- WhatsApp notification sent about restoration","cms, unrevoke-membership, restoration","CMS - Membership Management"
"View complete member information and status logs","Validate view complete member information and status logs","functional_web","medium","ready","Admin is on Membership Management page; Member has activity history including approval, revocation, unrevoke","Locate member record in table","Step completes as expected","Click 'View' button","Step completes as expected","Observe detail modal/page","Step completes as expected","Check status logs","Member detail view displays:
- Full member information (name, contact, dates)
- Complete status log with timestamps
- Activity history showing: request date, approval, revocation (with reason), unrevoke
- All status changes with admin ID and timestamp
- Current membership status clearly indicated","","","cms, view-member, status-logs","CMS - Membership Management"
"Export membership records as CSV","Validate export membership records as csv","functional_web","medium","ready","Admin is on Membership Management page; Filter set to 'Approved' showing 10 approved members; Current date: 2024-12-19","Set filter to 'Approved'","Step completes as expected","Click 'Export' button","Step completes as expected","Confirm export action","Step completes as expected","Download file","Step completes as expected","Open CSV file","CSV export successful:
- File downloaded with name: 'roaminrabbitsocialclub_members_20241219.csv'
- CSV contains all visible approved member records (respects current filter)
- Columns include: No, Account ID, Request Date, Name, Number, Status
- Data formatted correctly for spreadsheet viewing
- All 10 approved members present in export","cms, export-csv, data-export","CMS - Membership Management"
"Create new event with all required fields and post successfully","Validate create new event with all required fields and post successfully","functional_web","high","ready","Admin logged into Events Management CMS; Navigate to Event Creation page; Valid event images available (1080x1350px, <5MB each)","Navigate to Event Creation form","Step completes as expected","Upload 3 event images (drag & drop or select)","Step completes as expected","Fill Event Name: 'Jakarta Networking Night'","Step completes as expected","Select Date: '2024-12-28' using date picker","Step completes as expected","Enter Time: '18:00 - 21:00'","Step completes as expected","cms, event-creation, publish-event","CMS - Event Creation"
"Save event as draft without publishing","Validate save event as draft without publishing","functional_web","high","ready","Admin is on Event Creation page; Some fields filled, others incomplete","Fill Event Name: 'Bali Beach Meetup'","Step completes as expected","Select Date: '2025-01-15'","Step completes as expected","Leave Time, Region, Location empty","Step completes as expected","Upload 1 image","Step completes as expected","Click 'Save as Draft' button","Step completes as expected","cms, save-draft, partial-event","CMS - Event Creation"
"Verify Post Event button blocked until all required fields complete","Validate post event button blocked until all required fields complete","functional_web","high","ready","Admin is on Event Creation page","Fill Event Name: 'Test Event'","Step completes as expected","Leave Date field empty","Step completes as expected","Fill other fields completely","Step completes as expected","Upload required images","Step completes as expected","Attempt to click 'Post Event' button","Step completes as expected","cms, validation, negative, required-fields","CMS - Event Creation"
"Upload event images with drag and drop functionality","Validate upload event images with drag and drop functionality","functional_web","medium","ready","Admin is on Event Creation page; 3 valid image files ready (JPG/PNG, 1080x1350px, <5MB each)","Drag first image file to upload area","Step completes as expected","Drop image to upload","Step completes as expected","Repeat for second image","Step completes as expected","Repeat for third image","Step completes as expected","Observe upload results","Images uploaded successfully:
- Drag & drop functionality works smoothly
- All 3 images uploaded and displayed in preview
- Each image shows thumbnail preview
- Remove button available per image
- Can upload up to 3 images total
- Supported formats: JPG, PNG
- Recommended dimension: 1080x1350px","cms, image-upload, drag-drop","CMS - Event Creation"
"Verify image upload validation for oversized file","Validate image upload validation for oversized file","functional_web","high","ready","Admin is on Event Creation page; Oversized image file available (8MB)","Attempt to upload 8MB image file","Step completes as expected","Observe validation response","Upload validation error:
- Upload rejected due to file size > 5MB
- Error toast message displayed: 'Image size must be less than 5MB'
- Image not added to event
- Admin can try with smaller file
- Upload frame highlighted in red","","","","","","","cms, validation, negative, image-size","CMS - Event Creation"
"Verify image upload validation for unsupported format","Validate image upload validation for unsupported format","functional_web","high","ready","Admin is on Event Creation page; Unsupported file format available (BMP, GIF, TIFF)","Attempt to upload BMP format image","Step completes as expected","Observe validation response","Format validation error:
- Upload rejected due to unsupported format
- Error message: 'Only JPG and PNG formats supported'
- File not uploaded
- Admin must use JPG or PNG format","","","","","","","cms, validation, negative, file-format","CMS - Event Creation"
"Remove uploaded event image and re-upload","Validate remove uploaded event image and re-upload","functional_web","medium","ready","Admin is on Event Creation page; 2 images already uploaded","View uploaded images in preview","Step completes as expected","Click remove button on second image","Step completes as expected","Confirm removal","Step completes as expected","Upload new image to replace","Step completes as expected","Observe result","Image removal and replacement successful:
- Remove button removes selected image
- Image slot becomes available again
- New image can be uploaded via drag & drop
- Total images can still be up to 3
- All images properly ordered in preview","cms, image-management, remove-replace","CMS - Event Creation"
"Verify minimum 1 image required for publishing event","Validate minimum 1 image required for publishing event","functional_web","high","ready","Admin is on Event Creation page; All required text fields completed; No images uploaded","Fill all required text fields correctly","Step completes as expected","Leave image upload area empty (0 images)","Step completes as expected","Attempt to click 'Post Event' button","Step completes as expected","Observe validation","Image validation error:
- 'Post Event' button disabled
- Image upload area highlighted in red
- Error message: 'At least 1 image required for publishing'
- Cannot publish without minimum 1 image
- Can still save as draft without images","","","cms, validation, negative, minimum-images","CMS - Event Creation"
"Verify event description character limit validation","Validate event description character limit validation","functional_web","medium","ready","Admin is on Event Creation page","Navigate to Event Description field","Step completes as expected","Enter text exceeding 180 characters (e.g., 200 characters)","Step completes as expected","Observe character counter","Step completes as expected","Attempt to continue typing","Character limit enforced:
- Character counter shows current count vs max (e.g., '180/180')
- Cannot type beyond 180 character limit
- Description field blocks additional input
- If exceeding, validation error shown
- Admin must reduce text to within limit","","","cms, validation, character-limit","CMS - Event Creation"
"Verify Events List Table displays all events correctly","Validate events list table displays all events correctly","functional_web","high","ready","Admin logged into Events Management CMS; Multiple events exist with different statuses:; - 3 Posted events; - 2 Draft events; - Events with various dates (past, today, future)","Navigate to Events List page in CMS","Step completes as expected","Observe table display","Step completes as expected","Check table columns and data","Step completes as expected","Verify sorting order","Events List Table displays correctly:
- Columns: No, Event Name, Status, Date, Time, Region, Action
- Posted events show status as 'Posted' (green text)
- Draft events show status as 'Saved as draft' (grey text)
- Events sorted by most recently created (descending order)
- Total count displayed at bottom: 'Total 5'
- All events visible in single view","","","cms, events-list, table-display","CMS - Events List"
