title,description,test_type,priority,status,preconditions,step_1_action,step_1_expected,step_2_action,step_2_expected,step_3_action,step_3_expected,step_4_action,step_4_expected,step_5_action,step_5_expected,tags,suite_name
"Verify Accordions SEO text is mandatory for visible items","Validate SEO text requirement for visible accordions","functional_web","high","ready","Accordion is set to Show","Leave SEO text empty","Text blank","Attempt to publish","Publish clicked","Observe validation","Validation prevents publishing","","","","","accordions,validation,seo-text,cms","Accordions Content"
"Verify Accordions SEO text rich-text editor","Test formatting options in Accordions SEO text","functional_web","medium","ready","SEO text editor active","Apply formatting","Formatting applied","Save and check frontend","All formatting works correctly","","","","","","","accordions,rich-text,formatting,cms","Accordions Content"
"Verify unlimited accordions can be added","Validate unlimited accordion addition","functional_web","medium","ready","Section has 3 accordions","Add 10+ accordions","Accordions added","Verify no limit","No limit enforced","","","","","","","accordions,add-accordion,unlimited,cms","Accordions Content"
"Verify accordions after 5th appear in view all drawer on frontend","Test that extra accordions show in drawer on frontend","functional_web","high","ready","Section has 6+ accordions published","Add 6th accordion","Accordion added","Publish","Content published","Check frontend","6th accordion appears in View All drawer on frontend","","","","","accordions,view-all,frontend","Accordions Content"
"Verify minimum 3 accordions required","Test minimum accordion count enforcement","functional_web","high","ready","New section with 3 accordions","Try to delete first 3","First 3 cannot be deleted","Verify validation","Minimum accordion count enforced","","","","","","","accordions,validation,minimum,cms","Accordions Content"
"Verify delete only available for accordions beyond 3rd","Validate delete restriction for accordions","functional_web","high","ready","Section has 5 accordions","Check delete availability","Delete only available for 4th+ accordions","","","","","","","","","accordions,delete-accordion,cms","Accordions Content"
"Verify Accordions publish validation","Test publish validation for Accordions","functional_web","high","ready","Accordions have incomplete data","Leave required fields empty","Fields incomplete","Try to publish","Publish clicked","Observe validation","Validation blocks with error messages","","","","","accordions,validation,publish,cms","Accordions Content"
"Verify minimum 3 visible accordions for publish","Validate minimum visible accordions requirement","functional_web","high","ready","Some accordions are hidden","Show only 2 accordions","Only 2 visible","Attempt to publish","Publish clicked","Observe validation","Publish prevented with error","","","","","accordions,validation,visible-items,cms","Accordions Content"
"Verify Table section type displays correctly","Test Section Type field for Table","functional_web","low","ready","Table section editor is open","Check Section Type field","Field visible","Verify value","Displays Table as read-only","","","","","","","table,section-type,cms","Table Content"
"Verify Table last status shows Draft or Published","Validate status field for Table section","functional_web","medium","ready","Table has been saved","Check status after save","Status reflects Draft","Check status after publish","Status reflects Published correctly","","","","","","","table,status,cms","Table Content"
"Verify emoji support in Table cells","Test emoji functionality in Table","functional_web","medium","ready","Table is displayed","Add emojis to various cells","Emojis inserted","Save","Emojis work in all cells","","","","","","","table,emoji,cms","Table Content"
"Verify rich-text editor in all Table input fields","Validate formatting support in Table cells","functional_web","medium","ready","Table cells are editable","Apply formatting in multiple cells","Bold, italic, underline, highlight applied","Add bullets and links","Lists and links work","Save and check frontend","Bold, italic, underline, highlight, bullets, links all work; Outputs display correctly on frontend","","","table,rich-text,formatting,cms","Table Content"
"Verify Table initializes with minimum 3x3 grid","Test that Table starts with required minimum size","functional_web","medium","ready","New Table section is created","Observe initial table structure","Table has at least 3 columns and 3 rows","Verify grid size","Minimum grid size enforced","","","","","","","table,initialization,minimum,cms","Table Content"
"Verify first 3 rows cannot be deleted","Validate minimum row requirement for Table","functional_web","high","ready","Table has 3+ rows","Attempt to delete first 3 rows","Delete not available for first 3 rows","Verify enforcement","Minimum rows enforced","","","","","","","table,validation,minimum-rows,cms","Table Content"
"Verify first 3 columns cannot be deleted","Test minimum column requirement for Table","functional_web","high","ready","Table has 3+ columns","Attempt to delete first 3 columns","Delete not available for first 3 columns","Verify enforcement","Minimum columns enforced","","","","","","","table,validation,minimum-columns,cms","Table Content"
"Verify Add New Row button adds rows dynamically","Validate row addition functionality for Table","functional_web","high","ready","Table exists with 3 rows","Click Add New Row","Button clicked","Verify new row appears","New rows are added successfully","Add multiple rows","Row addition works","","","","","table,add-row,cms","Table Content"
"Verify Delete Row button removes added rows","Test row deletion for Table","functional_web","high","ready","Table has 5+ rows","Delete 4th row","Row deleted","Verify removal","Row beyond 3rd is deleted successfully","","","","","","","table,delete-row,cms","Table Content"
"Verify Add New Column button adds columns dynamically","Validate column addition for Table","functional_web","high","ready","Table exists with 3 columns","Click Add New Column","Button clicked","Verify new column appears","New columns are added successfully","","","","","","","table,add-column,cms","Table Content"
"Verify Delete Column button removes added columns","Test column deletion for Table","functional_web","high","ready","Table has 5+ columns","Delete 4th column","Column deleted","Verify removal","Column beyond 3rd is deleted successfully","","","","","","","table,delete-column,cms","Table Content"
"Verify Show/Hide Column toggle","Validate column visibility toggle for Table","functional_web","high","ready","Table has multiple columns","Toggle column to Hide","Column hidden","Publish","Content published","Check frontend","Hidden columns do not appear on frontend but remain editable in CMS","","","","","table,toggle,column-visibility,cms","Table Content"
"Verify Table publish validation for mandatory fields","Test publish validation for Table content","functional_web","high","ready","Table has empty cells","Leave required cells empty","Cells empty","Try to publish","Publish clicked","Observe validation","Validation prevents publishing with error","","","","","table,validation,publish,cms","Table Content"
"Verify language table displays all added languages","Validate that language list shows all added languages","functional_web","medium","ready","Navigate to Language Management for a destination","Observe language table","Table displays all languages admin has added","","","","","","","","","language,table,cms","Language Management"
"Verify language search filters by name","Test language search functionality","functional_web","medium","ready","Language table has multiple entries","Type partial language name in search","Search field accepts input","Observe filtering","Search filters results instantly with partial matches","","","","","","","language,search,cms","Language Management"
"Verify language table default alphabetical sorting","Validate default sorting for language table","functional_web","low","ready","Multiple languages exist","Load language table","Table loads","Observe order","Languages sorted alphabetically (A-Z)","","","","","","","language,sorting,cms","Language Management"
"Verify Add New Language button opens entry form","Test Add New Language button functionality","functional_web","high","ready","Language table is displayed","Click Add New Language","Button clicked","Observe result","Language entry form/dialog opens","","","","","","","language,add-language,dialog,cms","Language Management"
"Verify language status toggle between Live and Hidden","Validate language visibility toggle on frontend","functional_web","high","ready","Language exists with complete translations","Toggle language status","Status toggled","Check frontend","Live languages appear on frontend; Hidden languages do not appear","","","","","","","language,status,toggle,frontend","Language Management"
"Verify status toggle disabled when translation incomplete","Test that incomplete translations prevent going live","functional_web","high","ready","Language has incomplete translations","Attempt to toggle status to Live","Toggle is disabled/locked at Hidden","Verify state","Cannot set to Live until complete","","","","","","","language,status,toggle,disabled,cms","Language Management"
"Verify Edit action opens language content editor","Validate Edit button for languages","functional_web","high","ready","Multiple languages exist","Click Edit for a language","Edit clicked","Observe navigation","Editor opens for selected language","","","","","","","language,edit,cms","Language Management"
"Verify Delete action removes language permanently","Test language deletion functionality","functional_web","high","ready","Test language exists","Delete language","Delete clicked","Confirm deletion","Language removed from CMS and frontend","","","","","","","language,delete,cms","Language Management"
"Verify error state for language search with no results","Validate error message for empty language search results","functional_web","medium","ready","Language table has data","Search for non-existent language","Search entered","Observe result","System shows No results found","","","","","","","language,search,error,cms","Language Management"
"Verify sections table shows only published English sections","Test that translation interface only shows published sections","functional_web","high","ready","Navigate to specific language editor","Observe sections table","Table visible","Verify content","Table only displays sections that are PUBLISHED (not draft) in English","","","","","","","language,translation,sections,cms","Language Management"
"Verify Complete/Incomplete status in sections table","Validate translation progress status display","functional_web","medium","ready","Multiple sections with varying translation progress","Observe Complete/Incomplete status for sections","Status shows Complete only when all fields translated; Incomplete shown when any field untranslated","","","","","","","","","language,translation,status,cms","Language Management"
"Verify last activity timestamp updates on save","Test that timestamp updates correctly for translations","functional_web","low","ready","Section translations exist","Edit and save a section translation","Changes saved","Check last activity","Timestamp updates to current time after save","","","","","","","language,translation,timestamp,cms","Language Management"
"Verify Edit action opens section translation editor","Validate Edit navigation for section translations","functional_web","high","ready","Sections available for translation","Click Edit for a section","Edit clicked","Observe navigation","Section translation editor opens","","","","","","","language,translation,edit,cms","Language Management"
"Verify default sort by last activity","Test default sorting for translation sections","functional_web","low","ready","Multiple sections with different update times","Load sections table","Table loads","Observe order","Sorted by last activity (most recent first)","","","","","","","language,translation,sorting,cms","Language Management"
"Verify section type displays as read-only in translation editor","Validate Section Type field in translation interface","functional_web","low","ready","Open any section for translation","Check Section Type field","Field visible","Verify value and state","Displays section type (Vertical Tabs, Carousel 1, etc.) as read-only","","","","","","","language,translation,section-type,cms","Language Management"
"Verify last status shows Incomplete or Complete","Test translation status field updates","functional_web","medium","ready","Section translation in progress","Check status with incomplete translations","Status shows Incomplete when any field empty","Complete all fields and check status","Status shows Complete when all fields translated","","","","","","","language,translation,status,cms","Language Management"
"Verify tabs display translation sections correctly","Validate tab structure in translation editor","functional_web","medium","ready","Section has multiple content areas","Check available tabs","Tabs correspond to section content structure","Navigate between tabs","Navigation between tabs works","","","","","","","language,translation,tabs,cms","Language Management"
"Verify published English version shows read-only content","Test that English reference is displayed correctly","functional_web","medium","ready","English published content exists","View Published English Version tab","Tab displays content","Verify content","Displays English content as read-only; Shows published version (not draft)","","","","","","","language,translation,english-reference,cms","Language Management"
"Verify incomplete fields have red border","Validate visual indicator for untranslated fields","functional_web","medium","ready","Some translation fields are empty","Observe untranslated fields","Empty/untranslated fields have red border","","","","","","","","","language,translation,visual-indicator,cms","Language Management"
"Verify completed fields have green border","Test visual indicator for translated fields","functional_web","medium","ready","Some fields have translations","Fill in translation fields","Fields filled","Observe border color","Translated fields have green border","","","","","","","language,translation,visual-indicator,cms","Language Management"
"Verify rich-text editor in translation fields","Validate formatting support in translation editor","functional_web","medium","ready","Translation field is active","Apply formatting to translated text","Bold, italic, underline, highlight, bullets, links all work","","","","","","","","","language,translation,rich-text,cms","Language Management"
"Verify Save button saves translation progress","Test that Save preserves translation work","functional_web","critical","ready","Translation fields have content","Enter translations","Translations entered","Click Save","Content is saved","Navigate away and return","Progress persists when returning","","","","","language,translation,save,cms","Language Management"
"Verify auto-save functionality for translations","Validate auto-save prevents translation data loss","functional_web","high","ready","User is entering translations","Enter content","Content entered","Wait for auto-save interval","Content auto-saves at specified interval","","","","","","","language,translation,auto-save,cms","Language Management"
"Verify eSIMs section appears at top of page on desktop","Validate desktop layout change for eSIM section positioning","functional_web","high","ready","Navigate to destination page on desktop","Observe eSIM section position","eSIMs section appears next to image at top; Position matches new design (not below copywriting)","","","","","","","","","desktop,layout,esim,frontend","Desktop Frontend Validation"
"Verify sticky chips behavior after scroll on desktop","Test sticky navigation chips on desktop","functional_web","medium","ready","Scroll down destination page","Scroll past certain threshold","Scrolling occurs","Observe chip behavior","Chips become fixed/sticky at top of page; Chips do not overlap other UI elements","","","","","","","desktop,navigation,sticky-chips,frontend","Desktop Frontend Validation"
"Verify chip auto-scroll to section on desktop","Validate chip navigation functionality on desktop","functional_web","high","ready","Destination page with multiple sections loaded","Click a chip","Chip clicked","Observe page behavior","Page smoothly scrolls to corresponding section; Correct section is always in view","","","","","","","desktop,navigation,auto-scroll,frontend","Desktop Frontend Validation"
"Verify language change button functionality on desktop","Test language switching on desktop frontend","functional_web","high","ready","Admin has published multiple languages for destination","Locate language selector","Selector visible","Select different language","Dropdown shows available languages","Observe content change","Selecting language updates all text instantly","","","","","desktop,language,frontend","Desktop Frontend Validation"
"Verify language button hidden when no alternatives on desktop","Validate that language button hides appropriately on desktop","functional_web","medium","ready","Admin has not completed other languages","Check for language selector","Language button is hidden; No language options displayed","","","","","","","","","desktop,language,hidden,frontend","Desktop Frontend Validation"
"Verify vertical tabs display with default active tab on desktop","Test Vertical Tabs default state on desktop","functional_web","medium","ready","Navigate to destination with Vertical Tabs section","Observe Vertical Tabs section on load","First tab is active by default; Tab switching works without errors","","","","","","","","","desktop,vertical-tabs,default,frontend","Desktop Frontend Validation"
"Verify active/inactive styling for vertical tabs on desktop","Validate tab styling differentiation on desktop","functional_web","low","ready","Vertical Tabs section is visible","Click different tabs","Tabs switch","Observe styling changes","Active tab is highlighted clearly; Inactive tabs are visibly distinct","","","","","","","desktop,vertical-tabs,styling,frontend","Desktop Frontend Validation"
"Verify smooth transition when switching tabs on desktop","Test transition quality for vertical tabs on desktop","functional_web","medium","ready","Vertical Tabs section displayed","Click between tabs rapidly","Rapid clicking","Observe transitions","Content changes instantly or with smooth animation; No layout break or flicker occurs","","","","","","","desktop,vertical-tabs,transition,frontend","Desktop Frontend Validation"
"Verify vertical tabs responsive layout on desktop","Validate Vertical Tabs responsiveness on desktop sizes","functional_web","medium","ready","Resize browser window to various desktop sizes","Test at multiple desktop resolutions","Tabs adapt to screen size; Content fits without overflow","","","","","","","","","desktop,vertical-tabs,responsive,frontend","Desktop Frontend Validation"
"Verify pop-up opens for overwritten text in vertical tabs on desktop","Test pop-up functionality for lengthy content on desktop","functional_web","medium","ready","Vertical Tabs with lengthy SEO text","Tap/click text trigger on card","Click registered","Observe pop-up","Pop-up opens correctly; Content displayed without truncation","","","","","","","desktop,vertical-tabs,popup,frontend","Desktop Frontend Validation"
"Verify vertically scrolling overwritten text in frame on desktop","Validate vertical scrolling in text pop-up on desktop","functional_web","medium","ready","Pop-up contains long text content","Open pop-up with long text","Pop-up opens","Attempt to scroll within frame","Text scrolls vertically inside frame; No clipping occurs","","","","","","","desktop,vertical-tabs,scroll,frontend","Desktop Frontend Validation"
"Verify Carousel 1 displays cards with image title and description on desktop","Test Carousel 1 card rendering on desktop","functional_web","medium","ready","Navigate to Carousel 1 section","Observe carousel cards","Each card displays image, title, and description; All fields populated correctly","","","","","","","","","desktop,carousel-1,cards,frontend","Desktop Frontend Validation"
"Verify Carousel 1 navigation arrows on desktop","Validate arrow navigation for Carousel 1 on desktop","functional_web","medium","ready","Carousel 1 with multiple cards","Click left arrow","Arrow clicked; Arrows shift carousel items correctly","Click right arrow","Arrow clicked; Navigation is smooth","","","","","","","desktop,carousel-1,navigation,frontend","Desktop Frontend Validation"
"Verify Carousel 1 responsive item display on desktop","Test Carousel 1 responsiveness on desktop","functional_web","medium","ready","Resize browser window","Test at various desktop sizes","Number of visible cards adjusts appropriately; Layout remains clean","","","","","","","","","desktop,carousel-1,responsive,frontend","Desktop Frontend Validation"
"Verify Carousel 1 images maintain aspect ratio on desktop","Validate image aspect ratio for Carousel 1 on desktop","functional_web","medium","ready","Carousel with various images loaded","Observe images at different sizes","All images proportional; No stretching or squishing","","","","","","","","","desktop,carousel-1,images,frontend","Desktop Frontend Validation"
"Verify Carousel 1 tapping shows SEO text on desktop","Test tap interaction for Carousel 1 on desktop","functional_web","high","ready","Carousel 1 cards are displayed","Click/tap a card","Card clicked","Observe SEO text display","Associated SEO text appears as designed","","","","","","","desktop,carousel-1,interaction,frontend","Desktop Frontend Validation"
"Verify Carousel 1 SEO text scrolls vertically on desktop","Validate SEO text scrolling for Carousel 1 on desktop","functional_web","medium","ready","Card with long SEO text","Open SEO text","Text displayed","Scroll within frame","Text scrolls vertically without clipping","","","","","","","desktop,carousel-1,scroll,frontend","Desktop Frontend Validation"
"Verify Carousel 2 displays cards correctly on desktop","Test Carousel 2 card display on desktop","functional_web","medium","ready","Navigate to Carousel 2 section","Observe cards","Cards contain text/structured info; Formatting is correct","","","","","","","","","desktop,carousel-2,cards,frontend","Desktop Frontend Validation"
"Verify Carousel 2 navigation arrows on desktop","Validate Carousel 2 arrow navigation on desktop","functional_web","medium","ready","Carousel 2 with multiple cards","Use navigation arrows","Arrows cycle through cards correctly","","","","","","","","","desktop,carousel-2,navigation,frontend","Desktop Frontend Validation"
"Verify Carousel 2 responsive display on desktop","Test Carousel 2 responsiveness on desktop","functional_web","medium","ready","Resize browser window","Test at various sizes","Visible card count adjusts; Swipe works on smaller screens","","","","","","","","","desktop,carousel-2,responsive,frontend","Desktop Frontend Validation"
"Verify Carousel 2 SEO text scrolls vertically on desktop","Validate vertical scrolling for Carousel 2 on desktop","functional_web","medium","ready","Card with lengthy text","Access card content","Content displayed","Scroll text","Text scrolls vertically in frame","","","","","","","desktop,carousel-2,scroll,frontend","Desktop Frontend Validation"
"Verify Carousel 2 images maintain aspect ratio on desktop","Test image aspect ratio for Carousel 2 on desktop","functional_web","medium","ready","Carousel 2 with images","Observe images at various sizes","Images remain proportional","","","","","","","","","desktop,carousel-2,images,frontend","Desktop Frontend Validation"
"Verify Accordions expand and collapse on desktop","Test accordion expand/collapse on desktop","functional_web","high","ready","Navigate to Accordions section","Click accordion header","Accordion opens","Click again to collapse","Accordion toggles open/close; No errors occur","","","","","","","desktop,accordions,expand-collapse,frontend","Desktop Frontend Validation"
"Verify Accordions open/closed indicator on desktop","Validate state indicator for accordions on desktop","functional_web","low","ready","Accordions section visible","Expand accordion","Accordion opens","Observe indicator","Icon/arrow shows state correctly","Collapse and observe","Rotates or changes based on state","","","","","desktop,accordions,indicator,frontend","Desktop Frontend Validation"
"Verify single open mode for Accordions on desktop","Test that only one accordion opens at a time on desktop","functional_web","medium","ready","Multiple accordions exist","Open first accordion","First opens","Open second accordion","Second opens","Observe first accordion","Opening second closes first; Only one open at a time","","","","","desktop,accordions,single-open,frontend","Desktop Frontend Validation"
"Verify Accordions responsive display on desktop","Validate accordion responsiveness on desktop","functional_web","medium","ready","Resize browser window","Test at various sizes","Accordions adapt width appropriately","","","","","","","","","desktop,accordions,responsive,frontend","Desktop Frontend Validation"
"Verify View More drawer for Accordions beyond 5 on desktop","Test View More functionality for extra accordions on desktop","functional_web","high","ready","Section has 6+ accordions published","Observe initial display","First 5 accordions visible initially","Click View More","View More expands to reveal additional accordions","","","","","","","desktop,accordions,view-more,frontend","Desktop Frontend Validation"
"Verify Table displays structured columns and rows on desktop","Test Table rendering on desktop","functional_web","medium","ready","Navigate to Table section","Observe table structure","Data displayed in organized rows and columns; All defined data visible","","","","","","","","","desktop,table,structure,frontend","Desktop Frontend Validation"
"Verify Table horizontal scroll on desktop","Validate horizontal scrolling for Table on desktop","functional_web","medium","ready","Table with many columns","Attempt horizontal scroll if needed","Table scrolls horizontally on smaller screens; No overflow issues","","","","","","","","","desktop,table,scroll,frontend","Desktop Frontend Validation"
"Verify SEO text default compressed state on desktop","Test SEO text default display state on desktop","functional_web","medium","ready","Navigate to SEO text section","Observe initial text display","Text is truncated showing only preview; Few lines visible","","","","","","","","","desktop,seo-text,default,frontend","Desktop Frontend Validation"
"Verify SEO text View More button expands content on desktop","Validate View More expansion for SEO text on desktop","functional_web","high","ready","SEO text section with compressed text","Click View More button","Button clicked","Observe expansion","Text expands to show full content; Button toggles if required","","","","","","","desktop,seo-text,view-more,frontend","Desktop Frontend Validation"
"Verify eSIMs section appears below image on mobile","Test mobile layout positioning for eSIM section","functional_web","high","ready","Navigate to destination page on mobile device","Observe eSIM section position","eSIMs appear below image; Placement matches mobile design","","","","","","","","","mobile,layout,esim,frontend","Mobile Frontend Validation"
"Verify language change functionality on mobile","Test language switching on mobile","functional_web","high","ready","Multiple languages published","Access language selector","Selector accessible","Change language","Dropdown shows available languages; Content updates instantly","","","","","","","mobile,language,frontend","Mobile Frontend Validation"
"Verify language button hidden when no alternatives on mobile","Validate language button visibility on mobile","functional_web","medium","ready","No alternative languages published","Check for language button","Language button is hidden","","","","","","","","","mobile,language,hidden,frontend","Mobile Frontend Validation"
"Verify sticky chips after scroll on mobile","Test sticky chip behavior on mobile","functional_web","medium","ready","Scroll down destination page on mobile","Scroll past threshold","Scrolling occurs","Observe chips","Chips remain fixed at top; No UI overlap occurs","","","","","","","mobile,navigation,sticky-chips,frontend","Mobile Frontend Validation"
"Verify horizontal scrolling of chips on mobile","Validate horizontal chip scrolling on mobile","functional_web","medium","ready","More chips than fit on screen","Swipe chips horizontally","Chips scroll horizontally; All chips accessible","","","","","","","","","mobile,navigation,chips-scroll,frontend","Mobile Frontend Validation"
"Verify chip auto-scroll to section on mobile","Test chip navigation on mobile","functional_web","high","ready","Multiple sections on page","Tap a chip","Chip tapped","Observe scrolling","Page scrolls smoothly to section; Correct section in view","","","","","","","mobile,navigation,auto-scroll,frontend","Mobile Frontend Validation"
"Verify vertical tabs display as carousel on mobile","Test Vertical Tabs carousel display on mobile","functional_web","high","ready","Navigate to Vertical Tabs section","Observe display format","Tabs display as carousel on mobile; Default card shown","","","","","","","","","mobile,vertical-tabs,carousel,frontend","Mobile Frontend Validation"
"Verify swipe navigation for vertical tabs on mobile","Validate swipe gesture for vertical tabs on mobile","functional_web","high","ready","Vertical tabs carousel visible","Swipe left/right","Content changes based on swipe direction; Transitions are smooth","","","","","","","","","mobile,vertical-tabs,swipe,frontend","Mobile Frontend Validation"
"Verify navigation arrows for vertical tabs on mobile","Test arrow navigation for vertical tabs on mobile","functional_web","medium","ready","Carousel with arrows displayed","Tap left/right arrows","Arrows shift carousel items; Navigation is responsive","","","","","","","","","mobile,vertical-tabs,navigation,frontend","Mobile Frontend Validation"
"Verify pop-up for overwritten text on mobile vertical tabs","Test pop-up functionality on mobile","functional_web","medium","ready","Card with lengthy text","Tap text trigger","Pop-up opens; Content not truncated","","","","","","","","","mobile,vertical-tabs,popup,frontend","Mobile Frontend Validation"
"Verify mobile Carousel 1 card content display","Test Carousel 1 card rendering on mobile","functional_web","medium","ready","Navigate to Carousel 1","Observe cards","Cards display image, title, description correctly","","","","","","","","","mobile,carousel-1,cards,frontend","Mobile Frontend Validation"
"Verify mobile Carousel 1 images maintain aspect ratio","Validate image aspect ratio for Carousel 1 on mobile","functional_web","medium","ready","Carousel with images","Observe images","Images remain proportional","","","","","","","","","mobile,carousel-1,images,frontend","Mobile Frontend Validation"
"Verify mobile Carousel 1 tapping interaction","Test tap interaction for Carousel 1 on mobile","functional_web","high","ready","Carousel cards displayed","Tap a card","SEO text appears as designed","","","","","","","","","mobile,carousel-1,interaction,frontend","Mobile Frontend Validation"
"Verify mobile Carousel 1 SEO text vertical scroll","Validate SEO text scrolling for Carousel 1 on mobile","functional_web","medium","ready","Card with long SEO text","Access text","Text displayed","Scroll vertically","Text scrolls in frame correctly","","","","","","","mobile,carousel-1,scroll,frontend","Mobile Frontend Validation"
"Verify mobile Carousel 2 card display","Test Carousel 2 card rendering on mobile","functional_web","medium","ready","Navigate to Carousel 2","Observe cards","Cards display formatted text correctly","","","","","","","","","mobile,carousel-2,cards,frontend","Mobile Frontend Validation"
"Verify mobile Carousel 2 SEO text vertical scroll","Validate vertical scrolling for Carousel 2 on mobile","functional_web","medium","ready","Card with lengthy content","Access and scroll text","Text scrolls vertically in frame","","","","","","","","","mobile,carousel-2,scroll,frontend","Mobile Frontend Validation"
"Verify mobile Carousel 2 images maintain aspect ratio","Test image aspect ratio for Carousel 2 on mobile","functional_web","medium","ready","Carousel with images","Observe images","Images remain proportional","","","","","","","","","mobile,carousel-2,images,frontend","Mobile Frontend Validation"
"Verify mobile Accordions expand/collapse","Test accordion interaction on mobile","functional_web","high","ready","Navigate to Accordions","Tap header to expand","Accordion opens","Tap to collapse","Accordion toggles correctly","","","","","","","mobile,accordions,expand-collapse,frontend","Mobile Frontend Validation"
"Verify mobile Accordions open/closed indicator","Validate state indicator for accordions on mobile","functional_web","low","ready","Accordions visible","Expand accordion","Accordion opens","Observe indicator","Indicator shows state correctly","","","","","","","mobile,accordions,indicator,frontend","Mobile Frontend Validation"
"Verify mobile Accordions single open mode","Test single open behavior for accordions on mobile","functional_web","medium","ready","Multiple accordions exist","Open first","First opens","Open second","Opening second closes first","","","","","","","mobile,accordions,single-open,frontend","Mobile Frontend Validation"
"Verify mobile View More drawer for extra Accordions","Test View More drawer for accordions on mobile","functional_web","high","ready","6+ accordions published","Check initial display","First 5 visible","Tap View More","Drawer reveals additional","","","","","","","mobile,accordions,view-more,frontend","Mobile Frontend Validation"
"Verify mobile Table structured display","Test Table rendering on mobile","functional_web","medium","ready","Navigate to Table section","Observe table","Rows and columns organized correctly","","","","","","","","","mobile,table,structure,frontend","Mobile Frontend Validation"
"Verify mobile Table horizontal scroll","Validate horizontal scrolling for Table on mobile","functional_web","high","ready","Table with many columns","Swipe horizontally","Table scrolls correctly","","","","","","","","","mobile,table,scroll,frontend","Mobile Frontend Validation"
"Verify mobile Table sticky first column","Test sticky column feature for Table on mobile","functional_web","medium","ready","Table with multiple columns","Scroll horizontally","Columns scroll","Observe first column","First column remains fixed; Other columns scroll","","","","","","","mobile,table,sticky-column,frontend","Mobile Frontend Validation"
"Verify mobile SEO text default compressed state","Test SEO text default state on mobile","functional_web","medium","ready","Navigate to SEO text section","Observe text display","Text truncated to preview","","","","","","","","","mobile,seo-text,default,frontend","Mobile Frontend Validation"
"Verify mobile SEO text View More expansion","Validate View More functionality for SEO text on mobile","functional_web","high","ready","SEO text compressed","Tap View More","Text expands fully; Button toggles if needed","","","","","","","","","mobile,seo-text,view-more,frontend","Mobile Frontend Validation"
